output_path,duration_seconds
testset\TC-1\English-US-Numbers\CU5R9c3Wc60_noisy_0_CU5R9c3Wc60.whisper.auto.gt_audio_93.google.txt,1.8119999999762513
testset\TC-1\English-US-Numbers\RwlmeANAQFQ_noisy_0_RwlmeANAQFQ.whisper.auto.gt_audio_131.google.txt,1.8130000000237487
testset\TC-1\English-US-Numbers\RwlmeANAQFQ_noisy_0_RwlmeANAQFQ.whisper.auto.gt_audio_21.google.txt,1.5929999999934807
testset\TC-1\English-US-Numbers\RwlmeANAQFQ_noisy_0_RwlmeANAQFQ.whisper.auto.gt_audio_47.google.txt,1.8439999999827705
testset\TC-1\English-US-Numbers\RwlmeANAQFQ_noisy_0_RwlmeANAQFQ.whisper.auto.gt_audio_51.google.txt,1.6719999999622814
testset\TC-1\English-US-Numbers\RwlmeANAQFQ_noisy_0_RwlmeANAQFQ.whisper.auto.gt_audio_77.google.txt,2.1089999999967404
testset\TC-1\English-US-Numbers\RwlmeANAQFQ_noisy_0_RwlmeANAQFQ.whisper.auto.gt_audio_91.google.txt,3.0469999999622814
testset\TC-1\English-US-Numbers\RwlmeANAQFQ_noisy_0_RwlmeANAQFQ.whisper.auto.gt_audio_92.google.txt,2.0310000000172295
testset\TC-1\English-US-Numbers\RwlmeANAQFQ_noisy_0_RwlmeANAQFQ.whisper.auto.gt_audio_97.google.txt,2.952999999979511
testset\TC-1\English-US\1AnPurpl81c_noisy_0_1AnPurpl81c.whisper.auto.gt_audio_8.google.txt,1.5149999999557622
testset\TC-1\English-US\3BBtS1ir4tA_noisy_0_3BBtS1ir4tA.whisper.auto.gt_audio_15.google.txt,2.1869999999762513
testset\TC-1\English-US\CU5R9c3Wc60_noisy_0_CU5R9c3Wc60.whisper.auto.gt_audio_104.google.txt,2.4060000000172295
testset\TC-1\English-US\CU5R9c3Wc60_noisy_0_CU5R9c3Wc60.whisper.auto.gt_audio_126.google.txt,1.672000000020489
testset\TC-1\English-US\CU5R9c3Wc60_noisy_0_CU5R9c3Wc60.whisper.auto.gt_audio_15.google.txt,1.875
testset\TC-1\English-US\CU5R9c3Wc60_noisy_0_CU5R9c3Wc60.whisper.auto.gt_audio_154.google.txt,2.422000000020489
testset\TC-1\English-US\CU5R9c3Wc60_noisy_0_CU5R9c3Wc60.whisper.auto.gt_audio_159.google.txt,1.75
testset\TC-1\English-US\CU5R9c3Wc60_noisy_0_CU5R9c3Wc60.whisper.auto.gt_audio_2.google.txt,1.3280000000377186
testset\TC-1\English-US\CU5R9c3Wc60_noisy_0_CU5R9c3Wc60.whisper.auto.gt_audio_21.google.txt,1.827999999979511
testset\TC-1\English-US\CU5R9c3Wc60_noisy_0_CU5R9c3Wc60.whisper.auto.gt_audio_3.google.txt,1.797000000020489
testset\TC-1\English-US\CU5R9c3Wc60_noisy_0_CU5R9c3Wc60.whisper.auto.gt_audio_48.google.txt,1.922000000020489
testset\TC-1\English-US\CU5R9c3Wc60_noisy_0_CU5R9c3Wc60.whisper.auto.gt_audio_57.google.txt,1.9209999999729916
testset\TC-1\English-US\CU5R9c3Wc60_noisy_0_CU5R9c3Wc60.whisper.auto.gt_audio_82.google.txt,1.9679999999934807
testset\TC-1\English-US\RwlmeANAQFQ_noisy_0_RwlmeANAQFQ.whisper.auto.gt_audio_143.google.txt,2.094000000040978
testset\TC-1\English-US\RwlmeANAQFQ_noisy_0_RwlmeANAQFQ.whisper.auto.gt_audio_39.google.txt,1.702999999979511
testset\TC-1\English-US\RwlmeANAQFQ_noisy_0_RwlmeANAQFQ.whisper.auto.gt_audio_59.google.txt,1.8290000000270084
testset\TC-1\English-US\RwlmeANAQFQ_noisy_0_RwlmeANAQFQ.whisper.auto.gt_audio_7.google.txt,1.375
testset\TC-1\Mandarin-Numbers\0Ejp6yyU5bo_noisy_0_0Ejp6yyU5bo.whisper.auto.gt_audio_118.google.txt,1.375
testset\TC-1\Mandarin-Numbers\0Ejp6yyU5bo_noisy_0_0Ejp6yyU5bo.whisper.auto.gt_audio_18.google.txt,1.7810000000172295
testset\TC-1\Mandarin-Numbers\0Ejp6yyU5bo_noisy_0_0Ejp6yyU5bo.whisper.auto.gt_audio_27.google.txt,1.375
